Date,Replicating_Portfolio
2023-03-31,117.3776424063156
2023-04-03,118.39174860253698
2023-04-04,118.92612091075266
2023-04-05,123.00340545383112
2023-04-06,122.71077545092298
2023-04-10,122.33656850472447
2023-04-11,122.45228529842814
2023-04-12,122.24941290245873
2023-04-13,123.602190753743
2023-04-14,125.67619576428945
2023-04-17,125.8313993192217
2023-04-18,123.55026123355421
2023-04-19,124.37026399745564
2023-04-20,124.87141090019779
2023-04-21,124.30543608261974
2023-04-24,124.90975540272316
2023-04-25,125.059918014238
2023-04-26,123.05167227589932
2023-04-27,123.68309187517909
2023-04-28,124.35177106950121
2023-05-01,124.97190750381809
2023-05-02,125.26076749250345
2023-05-03,123.36480143853628
2023-05-04,122.5202878103757
2023-05-05,123.43092411217538
2023-05-08,123.29676735424748
2023-05-09,122.43200699072761
2023-05-10,122.78792010311795
2023-05-11,122.3157078532799
2023-05-12,121.75085366766804
2023-05-15,121.3123713219111
2023-05-16,120.98533172054101
2023-05-17,121.73135226093869
2023-05-18,121.68246257910465
2023-05-19,121.852928984159
2023-05-22,121.10478313806412
2023-05-23,120.74128757805686
2023-05-24,120.36984874617676
2023-05-25,119.16094860664465
2023-05-26,119.41709046656273
2023-05-30,119.54740397492131
2023-05-31,119.54113446119331
2023-06-01,119.67187125416953
2023-06-02,121.71975735114782
2023-06-05,122.17483203346181
2023-06-06,122.15209338401097
2023-06-07,122.65484352655271
2023-06-08,123.65721277986096
2023-06-09,123.5785230257338
2023-06-12,123.51344434180571
2023-06-13,124.22616627966917
2023-06-14,124.57305971707864
2023-06-15,126.17757252582282
2023-06-16,126.50186853988025
2023-06-20,126.27785887967622
2023-06-21,126.08713041746918
2023-06-22,126.45388473984272
2023-06-23,126.20705121700466
2023-06-26,125.22876543318975
2023-06-27,125.03697215030364
2023-06-28,124.70914150298545
2023-06-29,126.46653438612228
2023-06-30,127.73667435683852
2023-07-03,126.76548419470575
2023-07-05,126.23392199513196
2023-07-06,125.2140280160708
2023-07-07,124.13273483462335
2023-07-10,124.46763797364085
2023-07-11,124.48789207023228
2023-07-12,124.34197698930033
2023-07-13,124.92444420844024
2023-07-14,125.7366958367877
2023-07-17,126.11113517341464
2023-07-18,126.1698876147752
2023-07-19,126.1230442302238
2023-07-20,132.06318480444997
2023-07-21,132.82010674324707
2023-07-24,134.03030347391072
2023-07-25,134.50643121866727
2023-07-26,134.91119597682385
2023-07-27,135.06432710408367
2023-07-28,135.72016178759378
2023-07-31,131.99467764867217
2023-08-01,132.5914136149717
2023-08-02,132.76388019172936
2023-08-03,133.39930486962083
2023-08-04,132.41000709747058
2023-08-07,134.89789602203672
2023-08-08,134.74096924122694
2023-08-09,134.19703315005208
2023-08-10,133.63035786310215
2023-08-11,134.79423638912306
2023-08-14,134.6338554991838
2023-08-15,133.44140697715122
2023-08-16,132.9801070007693
2023-08-17,133.54569989122504
2023-08-18,132.75634066028786
2023-08-21,129.9397071403966
2023-08-22,128.46684691325694
2023-08-23,127.84422698562942
2023-08-24,128.13166723195846
2023-08-25,129.44139271367288
2023-08-28,128.4318819983764
2023-08-29,128.71961955326015
2023-08-30,128.2480177451394
2023-08-31,126.64804911113649
2023-09-01,126.07088108129253
2023-09-05,125.81292368102503
2023-09-06,124.22251960969342
2023-09-07,125.09848688215023
2023-09-08,125.42855028813507
2023-09-11,126.78101128997473
2023-09-12,127.74277699403557
2023-09-13,127.99464106015655
2023-09-14,128.50469386748355
2023-09-15,127.08674322628163
2023-09-18,127.74456732774989
2023-09-19,127.54558642667055
2023-09-20,127.80877342544912
2023-09-21,126.82301463108608
2023-09-22,125.83147091346044
2023-09-25,125.85920197703565
2023-09-26,124.7963222548379
2023-09-27,123.893824434426
2023-09-28,124.17827236283541
2023-09-29,122.93689573087353
2023-10-02,122.30414695557326
2023-10-03,122.16937108420258
2023-10-04,122.42021215579507
2023-10-05,123.49079591781323
2023-10-06,124.2884716517638
2023-10-09,124.72942500240121
2023-10-10,124.83001615017211
2023-10-11,123.69253958260147
2023-10-12,123.69994266880332
2023-10-13,124.50681502950624
2023-10-16,124.86301124028547
2023-10-17,123.96083716369628
2023-10-18,121.65324725400056
2023-10-19,121.2737210425215
2023-10-20,121.1220221256969
2023-10-23,119.74409946033703
2023-10-24,119.69153605662824
2023-10-25,119.70844300191824
2023-10-26,118.31427544343022
2023-10-27,115.18358777117706
2023-10-30,116.40698564352458
2023-10-31,117.5405439513062
2023-11-01,117.71396463714164
2023-11-02,119.18029908535803
2023-11-03,120.1791774657815
2023-11-06,120.63662048362808
2023-11-07,120.16042110878578
2023-11-08,120.00883689071074
2023-11-09,118.22446504232472
2023-11-10,118.62301769506624
2023-11-13,118.69075865337544
2023-11-14,119.32490096635803
2023-11-15,120.28185294105553
2023-11-16,121.42589081360195
2023-11-17,121.5653512833562
2023-11-20,122.43361241126657
2023-11-21,123.0606648848778
2023-11-22,122.97029472255203
2023-11-24,123.9926664390744
2023-11-27,123.20442155106387
2023-11-28,123.48845413685547
2023-11-29,123.9475393425245
2023-11-30,125.83360061606908
2023-12-01,128.16587342746428
2023-12-04,128.72236870283135
2023-12-05,128.52645852912673
2023-12-06,127.02290630326833
2023-12-07,126.42713279360572
2023-12-08,126.2603710756152
2023-12-11,126.76580962021849
2023-12-12,127.10094098814984
2023-12-13,127.64345014951493
2023-12-14,128.94889810697305
2023-12-15,128.24539688529458
2023-12-18,128.63960216090234
2023-12-19,129.74560877407663
2023-12-20,127.45614467450058
2023-12-21,128.5863823742538
2023-12-22,128.9225492619624
2023-12-26,129.54621785708997
2023-12-27,129.90217462382168
2023-12-28,130.24420067419877
2023-12-29,130.29054704150496
2024-01-02,132.62173839189575
2024-01-03,133.0273827773961
2024-01-04,133.09401579101137
2024-01-05,133.58447434697766
2024-01-08,133.75796516006363
2024-01-09,133.49859577381355
2024-01-10,133.72167196147473
2024-01-11,133.1363749858961
2024-01-12,133.5633744833142
2024-01-16,132.23223209368294
2024-01-17,131.9700469196177
2024-01-18,132.49913426515425
2024-01-19,133.4458869400381
2024-01-22,133.85708044325796
2024-01-23,132.05406680771247
2024-01-24,131.91378299412017
2024-01-25,132.83088159018484
2024-01-26,132.64209361112344
2024-01-29,132.6659655548836
2024-01-30,133.1500599123052
2024-01-31,132.77972006264903
2024-02-01,132.3197297118406
2024-02-02,131.5388407867443
2024-02-05,131.01569423726096
2024-02-06,132.46553648260053
2024-02-07,132.49617216345575
2024-02-08,131.4334526877496
2024-02-09,131.6911030794996
2024-02-12,132.50484126846465
2024-02-13,131.34801993348242
2024-02-14,131.33794828486413
2024-02-15,133.497460004992
2024-02-16,133.19631310148333
2024-02-20,134.12466879462121
2024-02-21,134.87654661598467
2024-02-22,136.41652947548258
2024-02-23,137.4429314054451
2024-02-26,136.68274714723003
2024-02-27,136.81471287768287
2024-02-28,137.3645861942656
2024-02-29,137.6573345874192
2024-03-01,137.90978722676115
2024-03-04,136.90267958444977
2024-03-05,137.4149362214571
2024-03-06,137.2757203761417
2024-03-07,136.61389397522777
2024-03-08,137.0751701460495
2024-03-11,138.09007271963978
2024-03-12,139.33355966045949
2024-03-13,138.735204617779
2024-03-14,136.8357885834169
2024-03-15,136.77799093405187
2024-03-18,136.49943517022714
2024-03-19,136.44192937104364
2024-03-20,136.77184469047825
2024-03-21,137.40300615702918
2024-03-22,136.52999237389704
2024-03-25,136.10412801308996
2024-03-26,136.63767139893847
2024-03-27,138.80093540741854
2024-03-28,139.11727285377924
2024-04-01,138.56046866934363
2024-04-02,138.51261578070296
2024-04-03,136.35555139408595
2024-04-04,134.97571053397286
2024-04-05,135.3339505544837
2024-04-08,135.10850358666366
2024-04-09,135.20514245266662
2024-04-10,133.59032564897808
2024-04-11,132.75752167343086
2024-04-12,129.0492409622785
2024-04-15,129.11357888440784
2024-04-16,126.78937537032996
2024-04-17,126.80725948930828
2024-04-18,127.64832280377668
2024-04-19,129.98344279648575
2024-04-22,131.53732265227563
2024-04-23,132.4350133542082
2024-04-24,132.0541636718713
2024-04-25,131.12362385587522
2024-04-26,130.75468301721597
2024-04-29,131.10249983702803
2024-04-30,129.43879519185074
2024-05-01,133.31533086769807
2024-05-02,132.53260164883253
2024-05-03,131.88310480692107
2024-05-06,131.829874987907
2024-05-07,131.85294152934136
2024-05-08,132.90259410775658
2024-05-09,133.86240476308484
2024-05-10,134.19550153840362
2024-05-13,134.9511209670482
2024-05-14,135.6970342452312
2024-05-15,136.5911721724527
2024-05-16,137.61587863570273
2024-05-17,138.37060538307765
2024-05-20,134.9550753742272
2024-05-21,135.8621448501082
2024-05-22,136.90859097044859
2024-05-23,134.34531353725288
2024-05-24,133.62771233814703
2024-05-28,131.81900901846925
2024-05-29,131.52809015959198
2024-05-30,132.30894729030746
2024-05-31,133.9017361877688
2024-06-03,134.34153281068177
2024-06-04,133.7525431710793
2024-06-05,132.2293034132879
2024-06-06,132.41206851224
2024-06-07,133.51409334627527
2024-06-10,133.46373809292942
2024-06-11,132.01370618364248
2024-06-12,130.55477190227754
2024-06-13,131.07824892676788
2024-06-14,131.15939569692299
2024-06-17,131.6823920131103
2024-06-18,131.9798885303329
2024-06-20,133.6257683252834
2024-06-21,133.64054622799839
2024-06-24,134.46389317551026
2024-06-25,133.1376139373046
2024-06-26,132.76958822326688
2024-06-27,132.5775006451086
2024-06-28,133.51466565313348
2024-07-01,134.42819871579198
2024-07-02,134.98015182026106
2024-07-03,134.74713130436587
2024-07-05,134.56317356826375
2024-07-08,134.0641602010235
2024-07-09,135.56899536250006
2024-07-10,137.0102060706228
2024-07-11,137.08653989939688
2024-07-12,136.6001406670097
2024-07-15,137.4293585909969
2024-07-16,139.31388290220846
2024-07-17,143.35993411804048
2024-07-18,141.0509536589579
2024-07-19,140.57402773538266
2024-07-22,140.4271039036121
2024-07-23,139.32627749769892
2024-07-24,141.22920503391757
2024-07-25,143.2260829700833
2024-07-26,144.65731133570952
2024-07-29,143.1047909417044
2024-07-30,145.7597338260452
2024-07-31,143.14703648758672
2024-08-01,143.7178597096194
2024-08-02,143.6260766829138
2024-08-05,140.92408200830945
2024-08-06,140.8657371140692
2024-08-07,140.83868410405026
2024-08-08,142.47955220565518
2024-08-09,143.12566916185116
2024-08-12,142.78208043755365
2024-08-13,142.31793612457076
2024-08-14,142.9137280094963
2024-08-15,143.58199999083033
2024-08-16,144.32972427222373
2024-08-19,144.82031274747476
2024-08-20,144.91282925463733
2024-08-21,145.67935876255947
2024-08-22,146.70004364706278
2024-08-23,148.1444088932858
2024-08-26,148.62994312242444
2024-08-27,148.61917028322605
2024-08-28,149.45650666885803
2024-08-29,149.85751518099312
2024-08-30,151.4356165980878
2024-09-03,151.1447001267886
2024-09-04,151.0344181891978
2024-09-05,149.22741644124508
2024-09-06,147.64545590288077
2024-09-09,149.99481236641492
2024-09-10,147.79650657638612
2024-09-11,146.6721371078174
2024-09-12,146.41667653693486
2024-09-13,146.40056154689532
2024-09-16,148.10797631762807
2024-09-17,148.48347716995445
2024-09-18,147.53182986266367
2024-09-19,147.4391536369783
2024-09-20,147.19161815692215
2024-09-23,146.71664346871935
2024-09-24,146.49105018914003
2024-09-25,144.86756394225182
2024-09-26,145.23938599110755
2024-09-27,145.4152409551866
2024-09-30,145.8917000061513
2024-10-01,144.94863648227275
2024-10-02,144.52124293169967
2024-10-03,143.63767027611476
2024-10-04,145.23224669180246
2024-10-07,144.7125767371518
2024-10-08,144.76474115184953
2024-10-09,145.9681724504408
2024-10-10,145.74740506390447
2024-10-11,148.5548140219436
2024-10-14,148.44552567939215
2024-10-15,150.14452476816274
2024-10-16,150.54808875444306
2024-10-17,150.84601771931176
2024-10-18,151.45713741280096
2024-10-21,149.53603896481707
2024-10-22,150.16974342560022
2024-10-23,151.43067271270792
2024-10-24,150.5044511848353
2024-10-25,148.21554469572834
2024-10-28,149.40007597664564
2024-10-29,147.88702779390582
2024-10-30,148.55402621134738
2024-10-31,147.51790896289185
2024-11-01,147.92026881425824
